# long, lat, r, g, b
15.4286,88.9714,118,166,205
16.4571,88.9714,118,166,205
17.4857,88.9714,118,166,205
18.5143,88.9714,118,166,204
19.5429,88.9714,118,166,204
20.5714,88.9714,118,166,204
21.6,88.9714,118,166,204
22.6286,88.9714,118,166,204
23.6571,88.9714,118,166,204
24.6857,88.9714,118,166,204
25.7143,88.9714,118,166,204
26.7429,88.9714,118,166,204
27.7714,88.9714,118,166,204
28.8,88.9714,118,166,204
29.8286,88.9714,118,166,204
30.8571,88.9714,118,166,205
31.8857,88.9714,118,166,204
32.9143,88.9714,118,166,205
33.9429,88.9714,118,166,205
34.9714,88.9714,118,166,205
36,88.9714,118,166,205
37.0286,88.9714,118,166,205
38.0571,88.9714,118,166,205
39.0857,88.9714,118,166,205
40.1143,88.9714,118,166,205
41.1429,88.9714,119,166,205
42.1714,88.9714,119,166,205
43.2,88.9714,119,166,205
44.2286,88.9714,119,166,205
45.2571,88.9714,119,166,205
46.2857,88.9714,119,166,205
47.3143,88.9714,119,166,205
48.3429,88.9714,119,166,205
49.3714,88.9714,119,166,205
50.4,88.9714,119,166,205
51.4286,88.9714,119,166,205
52.4571,88.9714,119,166,205
53.4857,88.9714,119,166,205
54.5143,88.9714,119,166,205
55.5429,88.9714,119,166,205
56.5714,88.9714,119,166,205
57.6,88.9714,119,166,205
58.6286,88.9714,119,166,205
59.6571,88.9714,119,166,205
60.6857,88.9714,119,166,205
61.7143,88.9714,119,166,205
62.7429,88.9714,119,166,205
63.7714,88.9714,119,166,205
64.8,88.9714,119,166,205
65.8286,88.9714,119,166,205
66.8571,88.9714,119,166,205
67.8857,88.9714,119,166,205
68.9143,88.9714,119,166,205
69.9429,88.9714,119,166,205
70.9714,88.9714,119,166,205
72,88.9714,119,166,205
73.0286,88.9714,119,166,205
74.0571,88.9714,119,166,205
75.0857,88.9714,119,166,205
76.1143,88.9714,119,166,205
77.1429,88.9714,119,166,205
78.1714,88.9714,119,166,205
79.2,88.9714,119,166,205
80.2286,88.9714,119,166,205
81.2571,88.9714,119,166,205
82.2857,88.9714,118,166,205
83.3143,88.9714,119,166,205
84.3429,88.9714,119,166,205
85.3714,88.9714,119,166,205
86.4,88.9714,119,166,205
87.4286,88.9714,119,166,205
88.4571,88.9714,118,166,205
89.4857,88.9714,118,166,205
90.5143,88.9714,119,166,205
91.5429,88.9714,118,166,205
92.5714,88.9714,118,166,205
93.6,88.9714,118,166,205
94.6286,88.9714,118,166,205
95.6571,88.9714,118,166,205
96.6857,88.9714,118,166,204
97.7143,88.9714,118,166,204
98.7429,88.9714,118,166,204
99.7714,88.9714,118,166,204
100.8,88.9714,118,166,204
101.829,88.9714,118,166,204
102.857,88.9714,118,166,204
103.886,88.9714,118,166,204
104.914,88.9714,118,166,204
105.943,88.9714,118,166,204
106.971,88.9714,118,166,204
108,88.9714,118,166,204
109.029,88.9714,118,166,204
110.057,88.9714,118,166,204
111.086,88.9714,118,166,204
112.114,88.9714,118,166,204
113.143,88.9714,118,166,204
114.171,88.9714,118,166,204
115.2,88.9714,118,166,204
116.229,88.9714,118,166,204
117.257,88.9714,118,166,204
118.286,88.9714,118,166,204
119.314,88.9714,118,166,204
120.343,88.9714,118,166,204
121.371,88.9714,118,166,204
122.4,88.9714,118,166,204
123.429,88.9714,118,166,204
124.457,88.9714,118,166,204
125.486,88.9714,118,166,204
126.514,88.9714,118,166,204
127.543,88.9714,118,166,204
128.571,88.9714,119,166,205
129.6,88.9714,119,166,205
130.629,88.9714,120,167,205
131.657,88.9714,122,169,207
132.686,88.9714,124,170,208
133.714,88.9714,126,171,208
134.743,88.9714,128,172,209
135.771,88.9714,129,173,209
136.8,88.9714,130,174,210
137.829,88.9714,131,174,210
138.857,88.9714,132,175,211
139.886,88.9714,135,178,212
140.914,88.9714,138,179,213
141.943,88.9714,139,180,214
142.971,88.9714,141,181,214
144,88.9714,141,182,215
145.029,88.9714,141,181,214
146.057,88.9714,139,180,213
147.086,88.9714,136,178,212
148.114,88.9714,134,176,211
149.143,88.9714,132,175,210
150.171,88.9714,130,173,210
151.2,88.9714,128,172,209
152.229,88.9714,127,172,208
153.257,88.9714,126,171,208
154.286,88.9714,125,170,208
155.314,88.9714,124,170,207
156.343,88.9714,124,170,207
157.371,88.9714,123,169,207
158.4,88.9714,122,169,207
159.429,88.9714,121,168,206
160.457,88.9714,121,167,206
161.486,88.9714,120,167,206
162.514,88.9714,120,167,205
163.543,88.9714,119,167,205
164.571,88.9714,119,167,205
165.6,88.9714,119,167,205
166.629,88.9714,120,167,205
167.657,88.9714,120,167,205
168.686,88.9714,121,167,206
169.714,88.9714,121,167,205
170.743,88.9714,121,168,206
171.771,88.9714,121,168,206
172.8,88.9714,121,168,206
173.829,88.9714,121,168,206
174.857,88.9714,121,168,206
175.886,88.9714,121,168,206
176.914,88.9714,121,168,206
177.943,88.9714,121,168,206
178.971,88.9714,121,168,206

-180,87.9429,120,167,205
-178.971,87.9429,120,167,206
-177.943,87.9429,120,167,206
-176.914,87.9429,120,167,206
-175.886,87.9429,120,168,205
-174.857,87.9429,120,168,206
-173.829,87.9429,120,168,206
-172.8,87.9429,120,168,206
-171.771,87.9429,121,168,206
-170.743,87.9429,121,168,206
-169.714,87.9429,121,168,206
-168.686,87.9429,120,168,206
-167.657,87.9429,120,168,206
-166.629,87.9429,120,168,206
-165.6,87.9429,120,168,206
-164.571,87.9429,120,168,206
-163.543,87.9429,120,168,205
-162.514,87.9429,120,168,205
-161.486,87.9429,120,168,205
-160.457,87.9429,120,167,205
-159.429,87.9429,120,167,205
-158.4,87.9429,120,167,205
-157.371,87.9429,120,167,206
-156.343,87.9429,120,168,206
-155.314,87.9429,120,167,205
-154.286,87.9429,120,167,206
-153.257,87.9429,120,167,205
-152.229,87.9429,120,167,206
-151.2,87.9429,120,167,206
-150.171,87.9429,120,167,206
-149.143,87.9429,120,167,206
-148.114,87.9429,120,167,205
-147.086,87.9429,120,167,205
-146.057,87.9429,120,167,205
-145.029,87.9429,120,167,205
-144,87.9429,120,167,205
-142.971,87.9429,120,167,206
-141.943,87.9429,121,168,206
-140.914,87.9429,121,168,206
-139.886,87.9429,121,168,206
-138.857,87.9429,121,168,206
-137.829,87.9429,122,168,207
-136.8,87.9429,122,169,207
-135.771,87.9429,122,169,207
-134.743,87.9429,122,169,207
-133.714,87.9429,122,169,207
-132.686,87.9429,122,169,207
-131.657,87.9429,122,169,207
-130.629,87.9429,122,169,207
-129.6,87.9429,123,169,207
-128.571,87.9429,123,169,207
-127.543,87.9429,123,169,207
-126.514,87.9429,123,169,207
-125.486,87.9429,123,169,207
-124.457,87.9429,123,169,207
-123.429,87.9429,124,169,207
-122.4,87.9429,124,170,207
-121.371,87.9429,125,170,207
-120.343,87.9429,125,170,208
-119.314,87.9429,126,171,208
-118.286,87.9429,127,172,208
-117.257,87.9429,128,172,209
-116.229,87.9429,128,172,209
-115.2,87.9429,129,173,209
-114.171,87.9429,128,172,209
-113.143,87.9429,127,172,209
-112.114,87.9429,127,171,208
-111.086,87.9429,126,171,208
-110.057,87.9429,127,171,208
-109.029,87.9429,127,171,208
-108,87.9429,127,172,208
-106.971,87.9429,127,172,208
-105.943,87.9429,127,172,208
-104.914,87.9429,127,172,209
-103.886,87.9429,127,172,208
-102.857,87.9429,127,172,208
-101.829,87.9429,127,172,209
-100.8,87.9429,127,172,209
-99.7714,87.9429,127,172,209
-98.7429,87.9429,128,172,209
-97.7143,87.9429,128,172,209
-96.6857,87.9429,128,172,209
-95.6571,87.9429,128,173,209
-94.6286,87.9429,128,173,209
-93.6,87.9429,129,173,209
-92.5714,87.9429,129,173,209
-91.5429,87.9429,129,174,210
-90.5143,87.9429,129,174,210
-89.4857,87.9429,129,174,210
-88.4571,87.9429,130,174,210
-87.4286,87.9429,130,174,210
-86.4,87.9429,130,173,209
-85.3714,87.9429,130,173,209
-84.3429,87.9429,130,173,209
-83.3143,87.9429,130,173,209
-82.2857,87.9429,130,173,209
-81.2571,87.9429,130,174,210
-80.2286,87.9429,130,174,210
-79.2,87.9429,131,175,210
-78.1714,87.9429,131,175,210
-77.1429,87.9429,132,175,211
-76.1143,87.9429,133,176,211
-75.0857,87.9429,135,177,212
-74.0571,87.9429,137,178,213
-73.0286,87.9429,138,179,213
-72,87.9429,139,180,214
-70.9714,87.9429,141,181,214
-69.9429,87.9429,142,182,215
-68.9143,87.9429,143,183,215
-67.8857,87.9429,144,184,216
-66.8571,87.9429,146,185,216
-65.8286,87.9429,148,186,217
-64.8,87.9429,150,188,218
-63.7714,87.9429,152,189,219
-62.7429,87.9429,153,189,219
-61.7143,87.9429,153,190,220
-60.6857,87.9429,154,190,220
-59.6571,87.9429,153,190,220
-58.6286,87.9429,153,190,220
-57.6,87.9429,153,189,219
-56.5714,87.9429,151,188,218
-55.5429,87.9429,148,186,217
-54.5143,87.9429,145,184,216
-53.4857,87.9429,140,181,214
-52.4571,87.9429,136,178,212
-51.4286,87.9429,132,175,210
-50.4,87.9429,129,173,209
-49.3714,87.9429,127,172,209
-48.3429,87.9429,126,171,208
-47.3143,87.9429,125,171,208
-46.2857,87.9429,124,170,207
-45.2571,87.9429,124,170,207
-44.2286,87.9429,124,170,207
-43.2,87.9429,124,170,207
-42.1714,87.9429,124,170,207
-41.1429,87.9429,124,170,207
-40.1143,87.9429,125,170,208
-39.0857,87.9429,125,170,208
-38.0571,87.9429,125,170,208
-37.0286,87.9429,126,171,208
-36,87.9429,126,171,208
-34.9714,87.9429,126,171,208
-33.9429,87.9429,127,171,208
-32.9143,87.9429,127,172,208
-31.8857,87.9429,127,172,209
-30.8571,87.9429,127,172,208
-29.8286,87.9429,127,172,208
-28.8,87.9429,127,171,208
-27.7714,87.9429,126,171,208
-26.7429,87.9429,126,171,208
-25.7143,87.9429,125,170,208
-24.6857,87.9429,125,170,208
-23.6571,87.9429,124,170,207
-22.6286,87.9429,124,170,207
-21.6,87.9429,124,169,207
-20.5714,87.9429,123,169,207
-19.5429,87.9429,123,169,207
-18.5143,87.9429,123,169,207
-17.4857,87.9429,122,168,206
-16.4571,87.9429,122,168,206
-15.4286,87.9429,121,168,206
-14.4,87.9429,121,168,206
-13.3714,87.9429,120,167,205
-12.3429,87.9429,119,167,205
-11.3143,87.9429,119,166,205
-10.2857,87.9429,119,166,205
-9.25714,87.9429,119,166,205
-8.22857,87.9429,119,166,205
-7.2,87.9429,119,166,205
-6.17143,87.9429,119,166,205
-5.14286,87.9429,118,166,205
-4.11429,87.9429,118,166,205
-3.08571,87.9429,118,166,205
-2.05714,87.9429,118,166,205
-1.02857,87.9429,118,166,205
0,87.9429,119,166,205
1.02857,87.9429,119,166,205
2.05714,87.9429,119,166,205
3.08571,87.9429,119,166,205
4.11429,87.9429,119,166,205
5.14286,87.9429,119,166,205
6.17143,87.9429,119,167,205
7.2,87.9429,119,166,205
8.22857,87.9429,119,166,205
9.25714,87.9429,119,166,205
10.2857,87.9429,119,166,205
11.3143,87.9429,119,166,205
12.3429,87.9429,119,167,205
13.3714,87.9429,119,166,205
14.4,87.9429,119,167,205
15.4286,87.9429,119,166,205
16.4571,87.9429,119,166,205
17.4857,87.9429,119,166,205
18.5143,87.9429,119,166,205
19.5429,87.9429,119,166,205
20.5714,87.9429,119,166,205
21.6,87.9429,119,166,205
22.6286,87.9429,119,166,205
